from,to,distance
6,36,10000.0
6,37,10000.0
6,38,10000.0
6,39,10000.0
6,40,10000.0
6,41,10000.0
6,42,10000.0
6,43,10000.0
6,44,10000.0
6,45,10000.0
6,46,10000.0
6,47,10000.0
6,48,10000.0
6,49,10000.0
6,50,10000.0
6,51,10000.0
6,52,10000.0
6,53,10000.0
6,54,10000.0
6,55,10000.0
6,56,10000.0
6,57,10000.0
6,58,10000.0
6,59,10000.0
6,60,10000.0
6,61,10000.0
6,62,10000.0
6,63,10000.0
6,64,10000.0
6,65,10000.0
6,66,10000.0
6,67,10000.0
6,68,10000.0
6,69,10000.0
6,70,10000.0
6,71,10000.0
6,72,10000.0
6,73,10000.0
6,74,10000.0
6,75,10000.0
6,76,10000.0
6,77,10000.0
6,78,10000.0
6,79,10000.0
6,80,10000.0
6,81,10000.0
6,82,10000.0
6,83,10000.0
6,84,10000.0
6,85,10000.0
6,86,10000.0
6,87,10000.0
6,88,10000.0
6,89,10000.0
6,90,10000.0
6,91,10000.0
6,92,10000.0
6,93,10000.0
6,94,10000.0
6,95,10000.0
6,96,10000.0
6,97,10000.0
6,98,10000.0
6,99,10000.0
6,100,10000.0
6,101,10000.0
7,1,2434.0
7,2,2413.0
7,3,3056.0
7,4,2342.0
7,5,1179.0
7,6,1286.0
7,7,0.0
7,8,422.0
7,9,10000.0
7,10,854.0
7,11,877.0
7,12,783.0
7,13,1058.0
7,14,461.0
7,15,642.0
7,16,28.0
7,17,42.0
7,18,281.0
7,19,1114.0
7,20,1778.0
7,21,2447.0
7,22,2533.0
7,23,2615.0
7,24,1795.0
7,25,1860.0
7,26,1875.0
7,27,1740.0
7,28,1792.0
7,29,1613.0
7,30,1635.0
7,31,2049.0
7,32,1912.0
7,33,2161.0
7,34,2016.0
7,35,2024.0
7,36,2167.0
7,37,2081.0
7,38,1938.0
7,39,1813.0
7,40,1931.0
7,41,1941.0
7,42,2032.0
7,43,1847.0
7,44,1999.0
7,45,2008.0
7,46,2120.0
7,47,2144.0
7,48,2244.0
7,49,2310.0
7,50,1147.0
7,51,1157.0
7,52,1307.0
7,53,2404.0
7,54,2135.0
7,55,2043.0
7,56,1723.0
7,57,1975.0
7,58,2292.0
7,59,2385.0
7,60,1571.0
7,61,1656.0
7,62,1785.0
7,63,986.0
7,64,1170.0
7,65,2712.0
7,66,2320.0
7,67,2467.0
7,68,2394.0
7,69,2306.0
7,70,2189.0
7,71,2267.0
7,72,1933.0
7,73,1239.0
7,74,1077.0
7,75,744.0
7,76,481.0
7,77,1113.0
7,78,1283.0
7,79,1033.0
7,80,772.0
7,81,1656.0
7,82,1765.0
7,83,1874.0
7,84,1884.0
7,85,2006.0
7,86,2125.0
7,87,2137.0
7,88,1347.0
7,89,1357.0
7,90,1505.0
7,91,1665.0
7,92,2327.0
7,93,2312.0
7,94,2123.0
7,95,2063.0
7,96,1894.0
7,97,1304.0
7,98,1314.0
7,99,1972.0
7,100,1984.0
7,101,2182.0
8,1,2012.0
8,2,1991.0
8,3,2634.0
8,4,2657.0
8,5,757.0
8,6,864.0
8,7,514.0
8,8,0.0
8,9,10000.0
8,10,1284.0
8,11,1307.0
8,12,1213.0
8,13,1487.0
8,14,39.0
8,15,220.0
8,16,486.0
8,17,472.0
8,18,711.0
8,19,692.0
8,20,1356.0
8,21,2025.0
8,22,2111.0
8,23,2193.0
8,24,1373.0
8,25,1437.0
8,26,1452.0
8,27,1318.0
8,28,2122.0
8,29,1942.0
8,30,1920.0
8,31,1627.0
8,32,1490.0
8,33,1738.0
8,34,1594.0
8,35,1602.0
8,36,1745.0
8,37,1659.0
8,38,1516.0
8,39,1391.0
8,40,1738.0
8,41,1748.0
8,42,1839.0
8,43,1956.0
8,44,1806.0
8,45,1816.0
8,46,1927.0
8,47,1951.0
8,48,2051.0
8,49,2117.0
8,50,725.0
8,51,734.0
8,52,885.0
8,53,2473.0
8,54,2241.0
8,55,2149.0
8,56,1831.0
8,57,1641.0
8,58,2024.0
8,59,2117.0
8,60,1149.0
8,61,1234.0
8,62,1363.0
8,63,563.0
8,64,748.0
8,65,2444.0
8,66,2127.0
8,67,2062.0
8,68,1972.0
8,69,1884.0
8,70,1767.0
8,71,1845.0
8,72,1511.0
8,73,817.0
8,74,655.0
8,75,322.0
8,76,59.0
8,77,691.0
8,78,860.0
8,79,610.0
8,80,350.0
8,81,1234.0
8,82,1343.0
8,83,1681.0
8,84,1691.0
8,85,1813.0
8,86,1922.0
8,87,1910.0
8,88,924.0
8,89,935.0
8,90,1082.0
8,91,1243.0
8,92,1905.0
8,93,1890.0
8,94,1700.0
8,95,1641.0
8,96,1471.0
8,97,881.0
8,98,892.0
8,99,1550.0
8,100,1562.0
8,101,1759.0
9,1,3309.0
9,2,2208.0
9,3,2851.0
9,4,1612.0
9,5,2085.0
9,6,2193.0
9,7,906.0
9,8,1328.0
9,9,0.0
9,10,124.0
9,11,147.0
9,12,189.0
9,13,463.0
9,14,1368.0
9,15,1549.0
9,16,935.0
9,17,949.0
9,18,1188.0
9,19,2021.0
9,20,2685.0
9,21,3264.0
9,22,3349.0
9,23,3432.0
9,24,2702.0
9,25,2766.0
9,26,2614.0
9,27,2508.0
9,28,1062.0
9,29,883.0
9,30,905.0
9,31,2540.0
9,32,2402.0
9,33,1951.0
9,34,2177.0
9,35,2168.0
9,36,1681.0
9,37,1871.0
9,38,2589.0
9,39,2463.0
9,40,1201.0
9,41,1211.0
9,42,1302.0
9,43,1117.0
9,44,1269.0
9,45,1278.0
9,46,1390.0
9,47,1414.0
9,48,1514.0
9,49,1580.0
9,50,2054.0
9,51,2063.0
9,52,2214.0
9,53,1674.0
9,54,1405.0
9,55,1313.0
9,56,993.0
9,57,1245.0
9,58,1562.0
9,59,1655.0
9,60,1674.0
9,61,1606.0
9,62,1471.0
9,63,1892.0
9,64,2077.0
9,65,1982.0
9,66,1590.0
9,67,1737.0
9,68,1827.0
9,69,1915.0
9,70,1980.0
9,71,2058.0
9,72,2257.0
9,73,2146.0
9,74,1984.0
9,75,1651.0
9,76,1388.0
9,77,2020.0
9,78,2189.0
9,79,1939.0
9,80,1678.0
9,81,2563.0
9,82,2672.0
9,83,1144.0
9,84,1154.0
9,85,1276.0
9,86,1395.0
9,87,1407.0
9,88,2253.0
9,89,2264.0
9,90,2411.0
9,91,2572.0
9,92,2123.0
9,93,2170.0
9,94,2065.0
9,95,1853.0
9,96,1865.0
9,97,1952.0
9,98,1942.0
9,99,1944.0
9,100,1775.0
9,101,1972.0
10,1,3184.0
10,2,2084.0
10,3,2727.0
10,4,1488.0
10,5,1961.0
10,6,2068.0
10,7,782.0
10,8,1204.0
10,9,10000.0
10,10,0.0
10,11,22.0
10,12,64.0
10,13,338.0
10,14,1243.0
10,15,1424.0
10,16,810.0
10,17,824.0
10,18,1063.0
10,19,1896.0
10,20,2560.0
10,21,3139.0
10,22,3225.0
10,23,3307.0
10,24,2577.0
10,25,2642.0
10,26,2490.0
10,27,2383.0
10,28,938.0
10,29,758.0
10,30,780.0
10,31,2415.0
10,32,2278.0
10,33,1826.0
10,34,2052.0
10,35,2044.0
10,36,1557.0
10,37,1747.0
10,38,2464.0
10,39,2339.0
10,40,1076.0
10,41,1086.0
10,42,1177.0
10,43,993.0
10,44,1144.0
10,45,1154.0
10,46,1265.0
10,47,1289.0
10,48,1390.0
10,49,1456.0
10,50,1929.0
10,51,1939.0
10,52,2089.0
10,53,1549.0
10,54,1280.0
10,55,1188.0
10,56,869.0
10,57,1121.0
10,58,1438.0
10,59,1530.0
10,60,1550.0
10,61,1482.0
10,62,1346.0
10,63,1768.0
10,64,1952.0
10,65,1858.0
10,66,1466.0
10,67,1613.0
10,68,1702.0
10,69,1790.0
10,70,1855.0
10,71,1933.0
10,72,2132.0
10,73,2021.0
10,74,1859.0
10,75,1526.0
10,76,1263.0
10,77,1895.0
10,78,2065.0
10,79,1815.0
10,80,1554.0
10,81,2438.0
10,82,2547.0
10,83,1019.0
10,84,1029.0
10,85,1151.0
10,86,1271.0
10,87,1283.0
10,88,2129.0
10,89,2139.0
10,90,2287.0
10,91,2447.0
10,92,1998.0
10,93,2045.0
10,94,1941.0
10,95,1729.0
10,96,1741.0
10,97,1828.0
10,98,1817.0
10,99,1819.0
10,100,1650.0
10,101,1847.0
11,1,3193.0
11,2,2197.0
11,3,2840.0
11,4,1601.0
11,5,1938.0
11,6,2046.0
11,7,759.0
11,8,1181.0
11,9,10000.0
11,10,112.0
11,11,0.0
11,12,42.0
11,13,316.0
11,14,1221.0
11,15,1401.0
11,16,787.0
11,17,801.0
11,18,1040.0
11,19,1874.0
11,20,2538.0
11,21,3207.0
11,22,3292.0
11,23,3375.0
11,24,2555.0
11,25,2619.0
11,26,2603.0
11,27,2496.0
11,28,1051.0
11,29,871.0
11,30,893.0
11,31,2528.0
11,32,2391.0
11,33,1939.0
11,34,2165.0
11,35,2156.0
11,36,1670.0
11,37,1860.0
11,38,2577.0
11,39,2451.0
11,40,1189.0
11,41,1199.0
11,42,1290.0
11,43,1106.0
11,44,1257.0
11,45,1267.0
11,46,1378.0
11,47,1402.0
11,48,1502.0
11,49,1568.0
11,50,1907.0
11,51,1916.0
11,52,2066.0
11,53,1662.0
11,54,1393.0
11,55,1301.0
11,56,982.0
11,57,1234.0
11,58,1550.0
11,59,1643.0
11,60,1662.0
11,61,1594.0
11,62,1459.0
11,63,1745.0
11,64,1930.0
11,65,1970.0
11,66,1579.0
11,67,1725.0
11,68,1815.0
11,69,1903.0
11,70,1968.0
11,71,2046.0
11,72,2245.0
11,73,1999.0
11,74,1836.0
11,75,1503.0
11,76,1240.0
11,77,1872.0
11,78,2042.0
11,79,1792.0
11,80,1531.0
11,81,2416.0
11,82,2524.0
11,83,1132.0
11,84,1142.0
11,85,1264.0
11,86,1384.0
11,87,1395.0
11,88,2106.0
11,89,2116.0
11,90,2264.0
11,91,2424.0
11,92,2111.0
11,93,2158.0
11,94,2053.0
11,95,1842.0
11,96,1854.0
11,97,1940.0
11,98,1930.0
11,99,1932.0
11,100,1763.0
11,101,1960.0
12,1,3255.0
12,2,2155.0
12,3,2798.0
12,4,1559.0
12,5,2032.0
12,6,2139.0
12,7,852.0
12,8,1275.0
12,9,10000.0
12,10,70.0
12,11,93.0
12,12,0.0
12,13,274.0
12,14,1314.0
12,15,1495.0
12,16,881.0
12,17,895.0
12,18,1134.0
12,19,1967.0
12,20,2631.0
12,21,3210.0
12,22,3295.0
12,23,3378.0
12,24,2648.0
12,25,2713.0
12,26,2561.0
12,27,2454.0
12,28,1009.0
12,29,829.0
12,30,851.0
12,31,2486.0
12,32,2349.0
12,33,1897.0
12,34,2123.0
12,35,2114.0
12,36,1628.0
12,37,1818.0
12,38,2535.0
12,39,2409.0
12,40,1147.0
12,41,1157.0
12,42,1248.0
12,43,1064.0
12,44,1215.0
12,45,1225.0
12,46,1336.0
12,47,1360.0
12,48,1460.0
12,49,1526.0
12,50,2000.0
12,51,2009.0
12,52,2160.0
12,53,1620.0
12,54,1351.0
12,55,1259.0
12,56,940.0
12,57,1192.0
12,58,1508.0
12,59,1601.0
12,60,1620.0
12,61,1552.0
12,62,1417.0
12,63,1839.0
12,64,2023.0
12,65,1928.0
12,66,1537.0
12,67,1683.0
12,68,1773.0
12,69,1861.0
12,70,1926.0
12,71,2004.0
12,72,2203.0
12,73,2092.0
12,74,1930.0
12,75,1597.0
12,76,1334.0
12,77,1966.0
12,78,2136.0
12,79,1885.0
12,80,1625.0
12,81,2509.0
12,82,2618.0
12,83,1090.0
12,84,1100.0
12,85,1222.0
12,86,1342.0
12,87,1353.0
12,88,2199.0
12,89,2210.0
12,90,2357.0
12,91,2518.0
12,92,2069.0
12,93,2116.0
12,94,2011.0
12,95,1800.0
12,96,1812.0
12,97,1898.0
12,98,1888.0
12,99,1890.0
12,100,1721.0
12,101,1918.0
13,1,10000.0
13,2,10000.0
13,3,10000.0
13,4,10000.0
13,5,10000.0
13,6,10000.0
13,7,10000.0
13,8,10000.0
13,9,10000.0
13,10,10000.0
13,11,10000.0
13,12,10000.0
13,13,0.0
13,14,10000.0
13,15,10000.0
13,16,10000.0
13,17,10000.0
13,18,10000.0
13,19,10000.0
13,20,10000.0
13,21,10000.0
13,22,10000.0
13,23,10000.0
13,24,10000.0
13,25,10000.0
13,26,10000.0
13,27,10000.0
13,28,10000.0
13,29,10000.0
13,30,10000.0
13,31,10000.0
13,32,10000.0
13,33,10000.0
13,34,10000.0
13,35,10000.0
13,36,10000.0
13,37,10000.0
13,38,10000.0
13,39,10000.0
13,40,10000.0
13,41,10000.0
13,42,10000.0
13,43,10000.0
13,44,10000.0
13,45,10000.0
13,46,10000.0
13,47,10000.0
13,48,10000.0
13,49,10000.0
13,50,10000.0
13,51,10000.0
13,52,10000.0
13,53,10000.0
13,54,10000.0
13,55,10000.0
13,56,10000.0
13,57,10000.0
13,58,10000.0
13,59,10000.0
13,60,10000.0
13,61,10000.0
13,62,10000.0
13,63,10000.0
13,64,10000.0
13,65,10000.0
13,66,10000.0
13,67,10000.0
13,68,10000.0
13,69,10000.0
13,70,10000.0
13,71,10000.0
13,72,10000.0
13,73,10000.0
13,74,10000.0
13,75,10000.0
13,76,10000.0
13,77,10000.0
13,78,10000.0
13,79,10000.0
13,80,10000.0
13,81,10000.0
13,82,10000.0
13,83,10000.0
13,84,10000.0
13,85,10000.0
13,86,10000.0
13,87,10000.0
13,88,10000.0
13,89,10000.0
13,90,10000.0
13,91,10000.0
13,92,10000.0
13,93,10000.0
13,94,10000.0
13,95,10000.0
13,96,10000.0
13,97,10000.0
13,98,10000.0
13,99,10000.0
13,100,10000.0
13,101,10000.0
14,1,2051.0
14,2,2030.0
14,3,2673.0
14,4,2697.0
14,5,796.0
14,6,903.0
14,7,475.0
14,8,39.0
14,9,10000.0
14,10,1244.0
14,11,1267.0
14,12,1174.0
14,13,1448.0
14,14,0.0
14,15,180.0
14,16,446.0
14,17,432.0
14,18,671.0
14,19,732.0
14,20,1395.0
14,21,2065.0
14,22,2150.0
14,23,2233.0
14,24,1412.0
14,25,1477.0
14,26,1492.0
14,27,1357.0
14,28,2161.0
14,29,1982.0
14,30,1959.0
14,31,1667.0
14,32,1529.0
14,33,1778.0
14,34,1633.0
14,35,1642.0
14,36,1784.0
14,37,1698.0
14,38,1556.0
14,39,1430.0
14,40,1778.0
14,41,1787.0
14,42,1878.0
14,43,1995.0
14,44,1846.0
14,45,1855.0
14,46,1967.0
14,47,1990.0
14,48,2091.0
14,49,2157.0
14,50,764.0
14,51,774.0
14,52,924.0
14,53,2513.0
14,54,2281.0
14,55,2189.0
14,56,1871.0
14,57,1681.0
14,58,2064.0
14,59,2157.0
14,60,1188.0
14,61,1273.0
14,62,1403.0
14,63,603.0
14,64,787.0
14,65,2484.0
14,66,2167.0
14,67,2101.0
14,68,2011.0
14,69,1923.0
14,70,1807.0
14,71,1885.0
14,72,1550.0
14,73,856.0
14,74,694.0
14,75,361.0
14,76,98.0
14,77,730.0
14,78,900.0
14,79,650.0
14,80,389.0
14,81,1273.0
14,82,1382.0
14,83,1720.0
14,84,1730.0
14,85,1853.0
14,86,1962.0
14,87,1950.0
14,88,964.0
14,89,974.0
14,90,1122.0
14,91,1282.0
14,92,1945.0
14,93,1930.0
14,94,1740.0
14,95,1680.0
14,96,1511.0
14,97,921.0
14,98,931.0
14,99,1589.0
14,100,1602.0
14,101,1799.0
15,1,2232.0
15,2,2211.0
15,3,2854.0
15,4,2877.0
15,5,977.0
15,6,1084.0
15,7,655.0
15,8,220.0
15,9,10000.0
15,10,1425.0
15,11,1448.0
15,12,1354.0
15,13,1628.0
15,14,180.0
15,15,0.0
15,16,627.0
15,17,613.0
15,18,852.0
15,19,912.0
15,20,1576.0
15,21,2245.0
15,22,2331.0
15,23,2413.0
15,24,1593.0
15,25,1657.0
15,26,1672.0
15,27,1538.0
15,28,2342.0
15,29,2162.0
15,30,2140.0
15,31,1847.0
15,32,1710.0
15,33,1958.0
15,34,1814.0
15,35,1822.0
15,36,1965.0
15,37,1879.0
15,38,1736.0
15,39,1611.0
15,40,1958.0
15,41,1968.0
15,42,2059.0
15,43,2176.0
15,44,2026.0
15,45,2036.0
15,46,2147.0
15,47,2171.0
15,48,2271.0
15,49,2337.0
15,50,945.0
15,51,954.0
15,52,1105.0
15,53,2693.0
15,54,2461.0
15,55,2369.0
15,56,2052.0
15,57,1862.0
15,58,2244.0
15,59,2337.0
15,60,1369.0
15,61,1454.0
15,62,1583.0
15,63,783.0
15,64,968.0
15,65,2664.0
15,66,2348.0
15,67,2282.0
15,68,2192.0
15,69,2104.0
15,70,1987.0
15,71,2065.0
15,72,1731.0
15,73,1037.0
15,74,875.0
15,75,542.0
15,76,279.0
15,77,911.0
15,78,1081.0
15,79,830.0
15,80,570.0
15,81,1454.0
15,82,1563.0
15,83,1901.0
15,84,1911.0
15,85,2033.0
15,86,2142.0
15,87,2130.0
15,88,1144.0
15,89,1155.0
15,90,1302.0
15,91,1463.0
15,92,2125.0
15,93,2110.0
15,94,1921.0
15,95,1861.0
15,96,1691.0
15,97,1102.0
15,98,1112.0
15,99,1770.0
15,100,1782.0
15,101,1979.0
16,1,2462.0
16,2,2442.0
16,3,3085.0
16,4,2314.0
16,5,1207.0
16,6,1315.0
16,7,28.0
16,8,450.0
16,9,10000.0
16,10,826.0
16,11,848.0
16,12,755.0
16,13,1029.0
16,14,490.0
16,15,670.0
16,16,0.0
16,17,13.0
16,18,252.0
16,19,1143.0
16,20,1807.0
16,21,2476.0
16,22,2562.0
16,23,2644.0
16,24,1824.0
16,25,1888.0
16,26,1903.0
16,27,1769.0
16,28,1764.0
16,29,1584.0
16,30,1606.0
16,31,2078.0
16,32,1940.0
16,33,2189.0
16,34,2045.0
16,35,2053.0
16,36,2196.0
16,37,2110.0
16,38,1967.0
16,39,1842.0
16,40,1902.0
16,41,1912.0
16,42,2003.0
16,43,1819.0
16,44,1970.0
16,45,1980.0
16,46,2091.0
16,47,2115.0
16,48,2216.0
16,49,2282.0
16,50,1176.0
16,51,1185.0
16,52,1335.0
16,53,2375.0
16,54,2106.0
16,55,2014.0
16,56,1695.0
16,57,1947.0
16,58,2264.0
16,59,2356.0
16,60,1600.0
16,61,1685.0
