CUST NO,XCOORD,YCOORD,DEMAND,READY TIME,DUE TIME,SERVICE TIME
76,118.81816210000001,31.895456300000003,18.0,69.0,79.0,10.0
77,118.8246652,31.8958814,13.0,73.0,83.0,10.0
78,118.82495109999999,31.894426,14.0,179.0,189.0,10.0
79,118.8216388,31.8942498,3.0,96.0,106.0,10.0
80,118.81895259999999,31.893729399999998,23.0,92.0,102.0,10.0
81,118.8233128,31.888587199999996,6.0,182.0,192.0,10.0
82,118.82478229999998,31.8886592,26.0,94.0,104.0,10.0
83,118.80865290000001,31.8883635,16.0,55.0,65.0,10.0
84,118.80875590000001,31.888368699999997,11.0,44.0,54.0,10.0
85,118.81004779999999,31.888436300000002,7.0,101.0,111.0,10.0
86,118.81130700000001,31.8885022,41.0,91.0,101.0,10.0
87,118.8114331,31.8885088,35.0,94.0,104.0,10.0
88,118.8199595,31.8880422,26.0,93.0,103.0,10.0
89,118.8200693,31.8880479,9.0,74.0,84.0,10.0
90,118.821627,31.8881292,15.0,176.0,186.0,10.0
91,118.82332009999999,31.888217600000004,3.0,95.0,105.0,10.0
92,118.8145192,31.8833604,1.0,160.0,170.0,10.0
93,118.8149152,31.883602000000003,2.0,18.0,28.0,10.0
94,118.8148587,31.884541700000003,22.0,188.0,198.0,10.0
95,118.81472659999999,31.886313,27.0,100.0,110.0,10.0
96,118.81471699999999,31.886420899999997,20.0,39.0,49.0,10.0
97,118.81209199999999,31.893037300000003,11.0,135.0,145.0,10.0
98,118.8121009,31.8929436,12.0,133.0,143.0,10.0
99,118.81389109999998,31.886382399999995,10.0,58.0,68.0,10.0
100,118.81389779999999,31.886272299999998,9.0,83.0,93.0,10.0
101,118.8140366,31.8844975,17.0,185.0,195.0,10.0
